ano,id_municipio,id_municipio_nome,sigla_uf,emprego_total,emprego_clt_privado,emprego_publico,salario_medio_total,salario_medio_clt,salario_medio_publico,n_brancos_total,n_negros_total,n_brancos_clt,n_negros_clt,n_brancos_publico,n_negros_publico,salario_branco_total,salario_branco_clt,salario_branco_publico,salario_negro_total,salario_negro_clt,salario_negro_publico,razao_total,razao_clt,razao_publico
2010,1100015,Alta Floresta D'Oeste,RO,3579,2373,1195,992.666051969824,832.172949852507,1313.04221757322,1115,1083,1082,1074,30,5,900.579031390135,861.249510166359,2358.12166666667,805.545189289012,802.010176908752,1613.554,1.1179745635189,1.07386356802346,1.46144576919438
2010,1100023,Ariquemes,RO,25624,22735,2730,1017.43882336872,932.321564548054,1739.8806996337,6874,10259,6832,10185,1,7,1036.93085976142,1038.53731411007,1968.85,886.736095135978,888.371502209131,990.618571428571,1.16937932880967,1.16903492686057,1.98749554751504
2010,1100031,Cabixi,RO,692,380,312,978.28323699422,781.393421052632,1218.08493589744,195,165,186,156,9,9,779.605025641026,781.204193548387,746.555555555556,739.786545454546,740.447435897436,728.331111111111,1.05382428273552,1.05504341790522,1.02502219686406
2010,1100049,Cacoal,RO,21899,19230,2519,1048.52856888442,943.22264274571,1838.19793568877,11748,7203,11499,7139,172,18,966.358907048008,959.273666405774,1317.95156976744,938.318314591143,927.110442639025,4541.73111111111,1.02988388057744,1.03469190108052,0.290187053686014
2010,1100056,Cerejeiras,RO,3495,2125,1319,972.543879828326,833.944814117647,1200.71784685368,1173,1006,1125,949,27,31,847.447280477408,843.243102222222,915.647407407407,820.959701789264,817.895869336143,976.331290322581,1.03226416428287,1.03099078236775,0.937844988154458
2010,1100064,Colorado do Oeste,RO,2644,2085,547,968.403600605144,921.718206235012,1156.22332723949,1478,567,1467,567,0,0,917.128437077131,920.124969325154,,916.343439153439,916.343439153439,,1.00085666344097,1.00412676078655,
2010,1100072,Corumbiara,RO,1227,848,368,950.538304808476,840.468891509434,1217.35497282609,407,425,396,424,1,0,922.703046683047,931.423964646465,1600,757.672329411765,758.256462264151,,1.21781278115225,1.22837590050368,
2010,1100080,Costa Marques,RO,1078,498,580,1038.65508348794,819.06078313253,1227.20329310345,297,162,297,162,0,0,797.942356902357,797.942356902357,,877.241234567901,877.241234567901,,0.909604251897023,0.909604251897023,
2010,1100098,Espigão D'Oeste,RO,5862,4854,917,943.668853633572,861.329608570251,1380.38978189749,2844,1966,2808,1923,28,19,862.183372011252,861.422688746439,860.434642857143,859.083341810783,856.43639625585,950.22,1.00360853254812,1.00582213987213,0.905510979412287
2010,1100106,Guajará-Mirim,RO,4742,3164,1558,1114.84386545761,892.886564475348,1572.59498074454,960,2170,846,2125,112,30,1170.11528125,1070.82473995272,1928.87071428571,837.978976958525,838.07136,975.163666666667,1.3963539819304,1.27772501371807,1.97799690474424
